platform,app,app_id,play_store_url,review_id,user_name,rating,text,language,date,thumbs_up,replied
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14170074752,انتبهواااااا,1,معقد — معقد,ar,2026-06-11T07:17:35-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14158227315,وليد انيس ٨٩,1,خدمة عملاء غير تفاعلية — لايوجد حل لاي مشكلة تحدث فقط رفع شكوى وغلقها دون اي رد,ar,2026-06-08T05:48:16-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14157596502,Shez556,5,User friendly hassle free — I am using this app since 2023 with other bank apps. Countered several issues with other banks but none with Alinma. Happy with banking services of Alinma,en,2026-06-08T01:42:04-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14156996461,EsraAbdu,2,Every service take weeks to be done — I was surprised because there weren’t like this but when i opened an account again with this bank ever since every service take weeks to be done unfortunately,en,2026-06-07T20:53:11-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14156629895,دره1435,5,استخدام سهل — رائع,ar,2026-06-07T18:17:06-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14135928740,الرفلا,5,افضل تطبيق مالي — افضل بنك وافضل تعامل,ar,2026-06-02T10:02:31-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14134368782,EtcH Administrator,1,"Recommend observing other banks — I am having many terrible experiences with Alinma Bank. They have infuriating, unprofessional, full of procrastination employees. Their customer services is degraded. They keep changing their statements, and there is no one to hold them accountable. Their irresponsible behavior on closing complaints without your consent is on  another level. Even their management center won’t deign to speak or write to you, they think themselves as a minster.",en,2026-06-02T01:21:48-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14131136693,Sftttyyyi,2,التطبيق معلق ولايفتح — التطبيق معلق ولايفتح على الشاشة الرئيسية,ar,2026-06-01T06:06:16-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14129410023,خالد48,1,ماذا حدث للتطبيق — لا يعمل,ar,2026-05-31T18:26:56-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14127109373,mhmd.1993,1,Disappointing bank — Why don’t you give notice to people to pay their card balance before charging them with interest???,en,2026-05-31T05:37:06-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14116063546,mmm iss,1,"Worst update ever. — After updating the app, it doesn't load any more, its stuck at intro screen
Just blank page!
I don't know how more unprofessional this could be, all my transaction now on hold.",en,2026-05-28T08:33:55-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14113459188,سهم 2025,1,يعلق على شاشة البدء — عملت اخر تحديث ايفون 17 برو ماكس  بعدها ما يفتح  التطبيق  يعلق على شاشة البدء   له اسبوع  الان,ar,2026-05-27T15:31:30-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14109228898,91937779,1,التطبيق معلق ولايفتح — مايفتح التطبيق واجهه بيضاء طيب ابغا اشيك كم في حسابي وش ذا النضام البايخ,ar,2026-05-26T12:20:38-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14103490966,huda al ahmadi,5,اصبح افضل تطبيق — كان زمان يعلق ولازم كلمة مرور معقدة والان اصبح اسرع وافضل تطبيق بنكي ! تقدم مبهر 😍😍 الله يسعدكم على المجهود الرايع,ar,2026-05-25T00:55:39-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14098739934,عمار الشهري,2,التطبيق — التطبيق لا يعمل بالشكل الصحيح وكذلك نظام التحويل لا يعمل,ar,2026-05-23T17:51:21-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14096747554,Qusai_Nsour,1,"خلل او تعطيل مقصود — كل ما انزل ع الأردن ببطل يفتح التطبيق ، ليش ما بعرف  
مع انه باقي حساباتي في البنوك  الأخرى تعمل بشكل سليم 

هذا الشي بخلي الواحد يفكر يلغي حسابه في بنك الإنماء ، الرجاء الإفادة بأقرب وقت.
شكراً",ar,2026-05-23T06:26:23-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14091136425,df3_0,1,تطبييق — في اشكاليه بالتطبيق واحيانا تعليق وتحدياته اطول ولا يفتح,ar,2026-05-21T17:29:24-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14085504361,urkhalid0,1,التطبيق لايعمل — التطبيق لايعمل,ar,2026-05-20T05:42:30-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14080677399,Darthabdu,1,التطبيق مايشتغل — يعلق على على شعار الانماء.,ar,2026-05-18T20:27:07-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14080612405,bahamdain,2,"للاسف — التطبيق له كم شهر من سيء إلى أسوأ 
التطبيق مايفتح
واحيانا يعلللللق 
واذا فتح التطبيق فإنه بطيييييييييييييء جداً يقهر
احتاج احول ضروري في وقت معين لكن للاسف التطبيق مايجمّل 
للاسف البنوك قاعدين يطورو في تطبيقاتهم الا الانماء وعه بنك ثاني",ar,2026-05-18T19:56:56-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14080578049,يحيى هوساوي,1,الطائف — لا استطيع الدخول هناك مشكلة في التطبيق لا اتمكن من يدخل ثم يخرج من حاله,ar,2026-05-18T19:41:23-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14066320053,M-Abuzaid,5,مدير تنفيذى — تطبيق ممتاز و انصح اى شخص يفتح حساب فى بنك الإنماء,ar,2026-05-15T01:04:29-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14052947903,Mooha91,1,تعليق — التطبيق دائم يعلق ماهو السبب,ar,2026-05-11T08:12:52-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14049184559,nawaf211,1,يوجد مشاكل عديدة تحد من استخدامه من قبل المكفوفين — للاسف تم رفع العديد من الشكاوا بخصوص سوء توافقية التطبيق على الايفون مع المكفوفين وتم تزويد المصرف بمقاطع فيديو للمشاكل ولا تجاوب للاسف,ar,2026-05-10T07:32:29-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14044497521,روز احمد الزهراني,5,جده — شكراً بنك الانماء  احبكم كثير ❤️ حققتم لي حلمي انه اخذت سياره مرره شكراً ربي يسعدكم 🌹,ar,2026-05-09T02:12:13-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14030784553,Ybt134,1,"Nearly impossible — To open a foreign company account is very difficult.
It took one week to convince them that there is no online option only at branch the account can be open.
At last they submitted the documents fully manually filled through me. 
They were almost not ready to make any sort of cooperation, only one sentence all the time go online summation but there is no option.
Let’s see when they can open.",en,2026-05-05T05:40:09-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14027656228,عبدالكريم بن سعد,5,Khafji — بنك متميز وتطبيق ممتاز,ar,2026-05-04T07:55:48-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14015914838,يفلحغ,1,اسوء تطبيق اقسم بالله — اقسم بالله سيئ سيئ سيئ جدااااا اقسم ازبل تطبيق شفته سيء سيئ عشان بس تاخرت في المكالمة عشان افعل التحويل لي اخوي ما قدرت احول و علق علي و قالي بعد 24 ساعه. تحول يشيخه الله يحرقه من تطبيق الله يعز الراجحي اي والله الله يعزه,ar,2026-05-01T03:35:02-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14002923113,B1995zx,1,التطبيق صاير مزعج — نحتاج تحميل مجاني,ar,2026-04-27T09:20:30-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14002118188,Awwq11330,2,التطبيق يعلق ويتأخر — المرجو تحديث التطبيق,ar,2026-04-27T04:44:20-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,14001148418,klivseu,5,ممتاز — ممتاز,ar,2026-04-26T20:35:05-07:00,1,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13997726008,Khleld almuri,5,الدمام — رائع,ar,2026-04-25T21:20:39-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13994994810,Shima’a,5,شكراً على كل شيء — جزاكم الله خيرا ً,ar,2026-04-25T03:52:34-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13992969918,عزيزي بنك الانماء,5,ksa — good,en,2026-04-24T12:40:53-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13992745239,حثلا,5,اشكر مصرف الإنماء وتطبيقهم على اهتمامهم في عملاهم — شكرا مصرف الإنماء,ar,2026-04-24T11:13:06-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13991778696,JAFARALI ULLATTIL,5,Very good — 👍👍,en,2026-04-24T05:42:06-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13976370357,Abo warl,5,ممتاز — سهل,ar,2026-04-19T16:04:44-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13974136621,المتفائله الجهني,5,جميل — رائع,ar,2026-04-19T02:49:08-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13974055102,أ.أبو البراء النخيلاني,5,تطبيق سهل وااااائع — تحديث مستمر ومتميز,ar,2026-04-19T02:13:10-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13968295885,Alhzmi wleed,5,👍 — ممتازه جداً وتقضي كل خدماتي بكل سهوله وسرعه بالانجاز شكراً الإنماء,ar,2026-04-17T11:28:49-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13966352097,ALBISHI77,5,ممتاز — ممتاز,ar,2026-04-16T23:08:31-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13964916230,Hazemsalih90,5,كل شيئ يخص هذا البنك فاخر — تحديث ٤: رائع تبارك الله تحديث ٣: تطور مستمر ماشاء الله تبارك الله تفاعلية ذكية واجهة متميزة البرنامج هادئ جداً والقياسات متناسقة سريع لا يوجد تعليق اي مشكلة اواجهها استطيع حلها بسرعة التطبيق يفهمك ويعاونك —— نفس تعليقي السابق وزيادة ٣ أضعاف 👍🏼👍🏼👍🏼,ar,2026-04-16T12:25:29-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13959941430,Not bad program,5,It’s easy for me not hard. — I am not a big fan of this bank,en,2026-04-15T03:17:07-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13959874667,ابو فهد ٦٩٦,5,شكراً — اصدار بطاقة,ar,2026-04-15T02:46:17-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13959728179,zahar-ksa,5,Thank you — Happy to be a customer in your bank … more to come,en,2026-04-15T01:32:44-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13949520717,ابو جودي  الدمام,5,الدمام — التطبيق لا يفتح وحذفته مرتين ونزلته باقي مايفتح نامل حل المشكله,ar,2026-04-12T02:47:15-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13948390099,MUBI14,2,App crashes after opening First time — need to open the app two to three times because for the first two attempts the shows no sign of Banks Signature logo,en,2026-04-11T18:12:27-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13944355568,سبحان الله وبحمده ٢٢,4,الانماء — شكرا لكم,ar,2026-04-10T15:32:39-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13938709307,REEMA:D,1,تحديث سيء — التحديث جداً سيء،حذفت الاصدار القديم لانه ماصار يشتغل وثبت الاصدار الجديد و لي يومين ماعرفت ادخل على الحساب. كل مرة يطلب مني اضيف الجوال كجهاز جديد وبعد الاضافة يرجع لصفحة الدخول ويطلب اضيف نفس الجوال كجهاز جديد. كلمت الدعم الفني وطلبوا مني الانتظار في نفس الصفحة بعد اضافة الجهاز لمدة ٣٠ ثانية واقفل التطبيق وافتحه بعد ٢٤ ساعة 🤷🏻‍♂️. نظام العصر الحجري 😤,ar,2026-04-09T02:58:20-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13937377219,Nohamed jadan,5,تطبيق الإنماء — تطبيق مالي عصري متطور يخدم شريحة كبيرة من المجتمع,ar,2026-04-08T16:30:27-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13937181584,يحيى بن سليمان,5,الحمد لله 💙 — التطبيق ممتاز 🤎,ar,2026-04-08T15:08:32-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13936710435,افضل بنك بنك الإنماء,5,الملقب — احسن بنك في تاريخ,ar,2026-04-08T12:00:49-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13936505704,ىبابيدك,5,التطبيق — ممتاز,ar,2026-04-08T10:46:45-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13934945082,الجرح مجروح,5,افضل بنك — 🤍🤍🤍 🤍,ar,2026-04-08T01:16:31-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13930672053,alhaim_6,5,جيزان — مايفتح التطبيق عندي,ar,2026-04-06T18:48:27-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13929287086,Bkhazal,5,ممتاز — التطبيق على نظام IOS ممتاز ما عليه كلام,ar,2026-04-06T09:39:33-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13926655203,bo shhad,5,الدمام — حي الريان نشكركم على تعاونكم مع الجميع,ar,2026-04-05T15:22:54-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13923180137,ميمي 🫶,5,خدمة سريعه وجميلهً جدا — تطبيق الانماء جدا رائع,ar,2026-04-04T15:53:49-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13918926372,Surajrajbhar,5,Good — Good,en,2026-04-03T12:03:39-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13918712675,Fares bsher,5,شكر وتقدير — يا ناااس الي ما عنده بنك الانماء لا يعتبر نفسه انه مأمن فلوسه والله عندهم اجراءت أمنيه جباااااره الف تحيه لبنك الانماء ولجميع موضفينها وتحيه خاصه لخدمه العملاء الله يحفظكم ويحفظ المملكه بلاد الأمن والأمان 🫡,ar,2026-04-03T10:49:45-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13918481386,assia9,5,Very good and save — Hope I will not regret to be an alinma customer,en,2026-04-03T09:35:08-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13914323725,Lamo walid,2,يعلق — يعلق كثير,ar,2026-04-02T06:48:07-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13913928758,الرحالة الدولي,1,التحدييث الجديد معلق — التحديث الجديد معلق والقديم افضل,ar,2026-04-02T04:35:22-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13912554912,معامله راىعه,1,مايفتح التطبيق — يعلق ولا يفتح,ar,2026-04-01T18:01:28-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13911621992,مؤرخ وطني,3,شكرا لكم — مصرفية متطورة تحقق رغبة المستفيد بكل يسر وسهوله 🇸🇦❤️🇸🇦,ar,2026-04-01T11:43:47-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13911462134,علي سوبر استار,5,مصرف الإنماء — تطبيق مصرف الإنماء,ar,2026-04-01T10:47:28-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13907570412,zezoalfaha,5,افضل بنك في السعودية الان — افضل بنك في السعودية الان,ar,2026-03-31T09:51:09-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13906125216,الشخص كاظم,4,المدينة المنورة النبلاء — لايوجد فروع قريب من منطقة النبلاء ابدع المبلغ وستخرج البطاقة من الصراف,ar,2026-03-31T01:00:19-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13903864451,riyad abukhater,5,"Excellent services classy treatment and wonderful staff — Excellent services, classy treatment, and wonderful staff",en,2026-03-30T08:54:00-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13903206212,ف غ العمري,4,جده حي النزهه — حسن التعامل,ar,2026-03-30T05:19:13-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13902927960,خللد موسى,1,تطبيق جدا جدا سيء — تطبيق جدا جدا سيء,ar,2026-03-30T03:31:05-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13899428503,م ح م د ٠٠٠٠٠٠٠٠٠٠,1,عطل في التطبيق — التطبيق فيه مشكله مو راضي يفتح اول شغال,ar,2026-03-29T03:44:48-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13897267741,Haza A,5,ممتاز جداً — إلى الأمام,ar,2026-03-28T12:01:22-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13890804862,هليل ١٢٣٤,5,. — بنكي المفضل,ar,2026-03-26T17:25:14-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13889865531,بندر مسعد,5,تطبيق ممتاز — تبيطق ممتاز,ar,2026-03-26T11:25:31-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13887764168,ابواينا الف شكر بنك الراجحي,5,الرياض — شكر بنك الانماء علي الخدمات الممتازة وفقكم الله,ar,2026-03-25T21:40:33-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13882076351,أبوأحمد د,5,عرعر — ممتاز وسهل الاستخدام,ar,2026-03-24T07:14:41-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13881861744,مستفيد ما استفاد شي,1,سيئ — لا اقدر ادخل البرنامج ولا اقدر اسوي شي رحت الفرع وصلحته من عندهم ورجعت ادخل ونفس المشكله,ar,2026-03-24T06:01:55-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13881601433,Ayasmari,4,تطوير اكتساب نقاط اكثر — في تطور ملحوظ لكن مازال اكتساب النقاط اكثر غير واضح في الكشف احيانا تتاخر اضافتها,ar,2026-03-24T04:27:32-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13880218942,albndsri,5,ممتاز — ممتاز,ar,2026-03-23T17:04:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13879815789,أبو سعد آل بقيطان,5,"الحدود الشماليه( رفحا) — عيدكم مبارك اجمل وافخم مصرف حتى اللون حلو
اتمنى منكم ان تراعوني بالفيزا
التي اهلكت كاهلي
وان تنظرو لي بلقسط
وشكرا لكم🌹🌹",ar,2026-03-23T14:14:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13859142385,هلا جو,5,حفر الباطن — بنك يستحق الثقه,ar,2026-03-17T15:34:37-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13858645026,AhmedGN88,1,"أسوأ بنك وأسوأ خدمة عملاء وأسوأ موظفين — أسوأ بنك وأسوأ خدمة عملاء وأسوأ موظفين وخصوصا سعيد الغامدي الصراف في فرع الطايف 

لو في اقل من نجمة كنت اعطيتهم",ar,2026-03-17T12:17:40-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13852591861,ابن زاهر,1,تجربة لن تتكرر حسبي الله ونعم الوكيل — تعقيد عشان ارجاع الحساب بشكل لا يصدق وأسوي اعادة تنشيط للحساب عن طريق الهاتف المصرفي ويقولون تم ولا يرجعونه مع العلم هم من أوقف الحساب بدون طلب مني,ar,2026-03-15T17:29:43-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13850550722,Wag dy,1,اسوء بنك والله — اسوء معامله في البنوك وعمري ماشوفت بنك ماعنده صراف,ar,2026-03-15T05:15:33-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13846345535,الشمال-,5,الجوف -طبرجل — بنك رائع. وخدمه سريعه,ar,2026-03-14T00:47:34-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13845616499,Aboodyalala,5,"بنك الجمال — لو كان للجمال بنك… فسيكون اسمه بنك الجمال،
حيث تتحول المعاملات المالية إلى تجربة راقية عبر تطبيق واحد "" فقط الامان "" الاهتمام في ان يكون امن ، سرق مني اكثر من 1700 ريال عبر الانماء ولم يتم الاسترداد وغيرنا البطاقة اكثر من ٥ مرات.
بديكم مشكلة في هذا",ar,2026-03-13T18:57:15-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13845548639,mnbvxzhff,5,ممتاز جدا — ممتاز جدا,ar,2026-03-13T18:29:24-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13843509895,ليل المعنى,1,تطبيق فاشل — لم تختار التصميم والشكل على حساب الفعالية يصير معك تطبيق فاشل,ar,2026-03-13T05:46:54-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13840106416,naseer ahmed khi,5,Performance — Good performance mobile app,en,2026-03-12T05:45:25-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13835256259,AHMED S ALJUHANI,5,Ahmad Sa — One of the best banks in Saudi Arabia. Keep it up,en,2026-03-10T17:54:06-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13834234003,200755,5,طلب إضافه أموال مثل STC Bank — طلب إضافه أموال مثل STC Bank,ar,2026-03-10T10:54:51-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13830725556,Anshaik10,1,Worst app ever — My user id is disabled since two months and there’s no solution from the bank’s support team.,en,2026-03-09T09:47:04-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13830372331,تغريدرر,1,صعوبة طباعه إيصال التحويل — حولت بشتري من متجر ولم يتم طباعة الإيصال للتحويل خطا خطا,ar,2026-03-09T07:42:24-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13830305205,آمنة زهير,3,جدة — عندي استياء شديد  من الاستثمار المشتركة فيه,ar,2026-03-09T07:19:17-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13828754675,SBAHG,4,Failed to open — The app is not opening since beginning of Mar 2026.!!!,en,2026-03-08T18:56:54-07:00,0,False
App Store,Alinma App (Main),1668637683,https://apps.apple.com/sa/app/id1668637683,13826702526,AL OWEDI,5,مصرف رائع وخدمه متوفره وسريعه — تعامل ممتاز وسهل للغايه,ar,2026-03-08T06:07:05-07:00,0,False
